成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬勢力, 分組
速農丨伊蕾娜, 109, 26400472, 0, 6244, 0, 30943295, 0, 6244, 0, 20470, 東平國, 速農
龍捲丨風, 57, 26084740, 0, 10408, 0, 30720555, 0, 10408, 0, 21936, 東平國, 速農
低調丨銅怪, 26, 25134309, 0, 9496, 0, 30710962, 0, 9846, 0, 20105, 東平國, 速農
香丨名牌, 29, 25027579, 0, 7627, 0, 30274301, 0, 7627, 0, 21403, 東平國, 速農
SP香奈兒, 72, 24637508, 0, 7609, 0, 29736422, 0, 7609, 0, 18431, 東平國, 速農
速農丨蒙面俠, 89, 24381934, 0, 6720, 401057, 28482861, 0, 6720, 401057, 15443, 東平國, 速農
酪梨好吃, 97, 24278596, 0, 7266, 0, 28412830, 0, 7266, 0, 18239, 東平國, 天農
七劍l克, 115, 24206374, 0, 5017, 0, 29539381, 0, 5017, 0, 23700, 東平國, 七劍
帥哥大蘭交, 65, 23953635, 0, 10802, 0, 26505809, 0, 10802, 0, 20280, 東平國, 賊
速農丨微涼風, 103, 23462718, 0, 4850, 0, 28253968, 0, 4850, 0, 24036, 東平國, 速農
呆丨屍符, 77, 22283213, 0, 5396, 0, 28630282, 0, 5746, 0, 18942, 東平國, 七劍
速農丨大吉, 39, 21896706, 0, 6741, 0, 27057580, 0, 6741, 0, 19610, 東平國, 速農
大輝, 153, 21546687, 0, 2056, 0, 24691889, 0, 2056, 0, 18746, 東平國, 速農
SP路爾斯, 84, 21232911, 0, 9135, 0, 26264663, 0, 9135, 0, 16907, 東平國, 速農
速農丨麥秋, 2, 20591004, 0, 7567, 0, 25489371, 0, 7567, 0, 18809, 東平國, 速農
七剑l强, 6, 20590254, 0, 11764, 0, 24884060, 0, 11764, 0, 18386, 東平國, 七劍
呆丨子瑜, 126, 20427480, 0, 4934, 0, 24296953, 0, 4934, 0, 21880, 東平國, 七劍
速農丨中吉, 15, 19984798, 0, 10192, 0, 24445509, 0, 10542, 0, 17252, 東平國, 速農
内塔尼夜壺, 99, 19678720, 0, 5806, 0, 24323652, 0, 5806, 0, 18183, 東平國, 速農
速農丨瑋哥, 78, 19374779, 0, 4948, 0, 19374779, 0, 4948, 0, 19780, 東平國, 速農
酒館丨大GG, 102, 18989014, 0, 5748, 0, 21998646, 0, 6098, 0, 19079, 東平國, 梟
呆丨中蓈, 66, 18936916, 0, 10678, 0, 24188790, 0, 10678, 0, 17716, 東平國, 七劍
小妹天天, 71, 18748321, 0, 8522, 0, 23842804, 0, 8522, 0, 18050, 東平國, 天農
找謝丨武冽, 25, 18624143, 0, 9863, 0, 22634223, 0, 9863, 0, 18512, 東平國, 速農
北境丨嘯西風, 132, 18254206, 0, 3372, 0, 22970547, 0, 3722, 0, 18073, 東平國, 梟
王小羽, 5, 17850846, 0, 12073, 0, 22114667, 0, 12423, 0, 17583, 東平國, 速農
老剛, 148, 17713361, 0, 1929, 0, 20016575, 0, 1929, 0, 16560, 東平國, 賊
不倦, 93, 17667066, 0, 7176, 0, 18205143, 0, 7176, 0, 16188, 東平國, 七劍
件衫跌緊落嚟, 82, 17564581, 0, 8015, 0, 21379853, 0, 8015, 0, 14873, 東平國, 天農
無敵の螢火蟲, 157, 17503690, 0, 192, 0, 17503690, 0, 192, 0, 16282, 東平國, 速農
摆烂丨椰子, 7, 17265281, 0, 13569, 0, 21712601, 0, 13919, 0, 19640, 東平國, 速農
七劍l富, 19, 17227725, 0, 10991, 0, 22465880, 0, 11341, 0, 18580, 東平國, 七劍
七劍l朱, 88, 16866855, 0, 5148, 0, 18803999, 0, 5148, 0, 17333, 東平國, 七劍
低調丨橙, 11, 16518369, 0, 9816, 0, 21447203, 0, 9816, 0, 19860, 東平國, 速農
七剑l龍, 10, 16466290, 0, 11995, 0, 21854235, 0, 11995, 0, 16659, 東平國, 七劍
酒館丨蜘蛛, 18, 16297139, 0, 10862, 0, 16548462, 0, 10862, 0, 16460, 東平國, 速農
米乂雅嘎靡, 114, 16119156, 0, 4686, 0, 17623299, 0, 5036, 0, 17510, 東平國, 七劍
我想返屋企, 24, 15370779, 0, 12536, 0, 20254814, 0, 12886, 0, 18583, 東平國, 天農
關北军, 95, 15365727, 0, 5473, 0, 16810262, 0, 5473, 0, 16172, 東平國, 梟
軟昨天阮經天, 79, 15327697, 0, 7929, 0, 20753755, 0, 7929, 0, 18260, 魯國, 天農
速農丨樣囝, 13, 15301354, 0, 12583, 0, 18493055, 0, 12933, 0, 19293, 東平國, 速農
花丨羊羊, 35, 14495627, 0, 6468, 0, 18744029, 0, 6818, 0, 16046, 東平國, 天農
速農丨小衛, 36, 14027222, 0, 9813, 0, 18158580, 0, 10163, 123372, 13876, 東平國, 速農
七劍l蠻, 80, 13934781, 0, 8589, 0, 17309985, 0, 8939, 0, 16333, 東平國, 七劍
RON, 124, 13892414, 0, 4808, 0, 17108418, 0, 4808, 0, 15310, 東平國, 速農
七劍l霍, 73, 13867342, 0, 9888, 0, 18717808, 0, 9888, 0, 18540, 東平國, 七劍
七劍l緊, 12, 13581339, 0, 11734, 0, 15421275, 0, 12084, 0, 17010, 東平國, 七劍
速農丨様囝, 50, 13497537, 0, 9022, 0, 16321392, 0, 9372, 0, 17060, 東平國, 速農
方圓戴歐克法, 14, 13477386, 0, 12303, 0, 16850430, 0, 12653, 0, 15673, 東平國, 賊
速農丨怕囝, 1, 13447657, 0, 10917, 0, 16523194, 0, 11267, 0, 16220, 東平國, 速農
七劍l馳, 61, 13428798, 0, 7207, 0, 19281219, 0, 7207, 0, 18190, 東平國, 七劍
香丨賀歷斯, 116, 13365123, 0, 4833, 0, 18453422, 0, 4833, 0, 13788, 東平國, 速農
